Date,Open,High,Low,Close,Volume
2017-01-03,6191.4,6191.4,6041.6,6066.5,494169
2017-01-04,6066.5,6191.4,6041.6,6166.4,2044785
2017-01-05,6191.4,6191.4,6091.5,6091.5,2310980
2017-01-06,6141.4,6291.2,6141.4,6141.4,4070645
2017-01-09,6141.4,6266.3,6141.4,6141.4,2860176
2017-01-10,6191.4,6216.3,6166.4,6191.4,2010074
2017-01-11,6216.3,6241.3,6091.5,6091.5,1672751
2017-01-12,6141.4,6166.4,6066.5,6141.4,2759554
2017-01-13,6091.5,6191.4,6066.5,6091.5,3205207
2017-01-16,6116.5,6191.4,6066.5,6166.4,3353640
2017-01-17,6166.4,6515.9,6166.4,6441.0,4851208
2017-01-18,6441.0,6441.0,6316.2,6316.2,1278674
2017-01-19,6316.2,6341.2,6216.3,6216.3,1830773
2017-01-20,6241.3,6391.1,6241.3,6391.1,2057120
2017-01-23,6540.9,6665.7,6490.9,6515.9,5589432
2017-01-24,6490.9,6565.8,6490.9,6515.9,1820125
2017-01-25,6540.9,6715.6,6540.9,6715.6,3114880
2017-02-02,6740.6,6915.4,6715.6,6865.4,4336154
2017-02-03,6890.4,6890.4,6690.7,6690.7,2788519
2017-02-06,6690.7,6915.4,6640.7,6915.4,5234420
2017-02-07,6940.3,7040.2,6840.5,6865.4,4564932
2017-02-08,6840.5,6915.4,6815.5,6840.5,2818739
2017-02-09,6840.5,6965.3,6840.5,6915.4,3367544
2017-02-10,6940.3,7264.9,6940.3,7239.9,7619450
2017-02-13,7339.8,7514.5,7289.8,7464.6,5012349
2017-02-14,7489.5,7489.5,7264.9,7364.7,4121025
2017-02-15,7364.7,7539.5,7339.8,7464.6,5702174
2017-02-16,7489.5,7714.2,7439.6,7489.5,5399934
2017-02-17,7464.6,7739.2,7464.6,7739.2,6649428
2017-02-20,7914.0,8263.5,7814.1,8263.5,7160874
2017-02-21,8288.4,8463.2,8088.7,8388.3,6000178
2017-02-22,8388.3,8588.0,8338.4,8388.3,6402098
2017-02-23,8388.3,8488.2,8213.5,8488.2,5429213
2017-02-24,8488.2,8837.7,8438.2,8513.1,9244527
2017-02-27,8488.2,8687.9,8288.4,8588.0,6165339
2017-02-28,8662.9,8712.8,8213.5,8238.5,5562369
2017-03-01,8088.7,8263.5,7839.1,8238.5,7839540
2017-03-02,8338.4,8563.1,8263.5,8413.3,5820446
2017-03-03,8438.2,8812.7,8388.3,8637.9,6166045
2017-03-06,8887.6,9237.1,8787.7,9187.2,13615077
2017-03-07,9187.2,9411.9,8987.5,8987.5,6440731
2017-03-08,8987.5,9337.0,8887.6,9187.2,6620169
2017-03-09,9237.1,9287.0,9087.3,9187.2,6741833
2017-03-10,9237.1,9411.9,9237.1,9287.0,10303640
2017-03-13,9287.0,9287.0,9062.4,9162.2,5767321
2017-03-14,9162.2,9212.1,8987.5,9162.2,6926017
2017-03-15,9212.1,9536.7,9212.1,9536.7,7410577
2017-03-16,9611.6,9861.2,9536.7,9786.3,7760960
2017-03-17,9786.3,9861.2,9287.0,9386.9,10102905
2017-03-20,9436.8,9736.4,9237.1,9586.6,7892509
2017-03-21,9586.6,9686.5,9386.9,9536.7,4167365
2017-03-22,9536.7,9536.7,8987.5,9087.3,6928448
2017-03-23,9037.4,9287.0,8862.6,9237.1,9525371
2017-03-24,9287.0,9436.8,9037.4,9087.3,7680616
2017-03-27,9212.1,9711.4,9187.2,9511.7,8396797
2017-03-28,9586.6,9711.4,9486.8,9511.7,9454204
2017-03-29,9511.7,9986.1,9511.7,9986.1,8554937
2017-03-30,10085.9,10435.4,10085.9,10310.6,8576587
2017-03-31,10385.5,10560.3,10210.8,10285.6,9528724
2017-04-03,10285.6,10859.8,10285.6,10834.9,11829389
2017-04-04,10934.7,11034.6,10735.0,10834.9,7709031
2017-04-05,10834.9,10934.7,10585.2,10735.0,9171477
2017-04-07,10685.1,11234.3,10410.5,11234.3,10273106
2017-04-10,11334.2,11583.8,11334.2,11484.0,6910799
2017-04-11,11484.0,11583.8,10984.7,11284.3,7887861
2017-04-12,11234.3,11683.7,10984.7,11484.0,7926808
2017-04-13,11533.9,11658.7,11284.3,11309.2,4361334
2017-04-14,11184.4,11259.3,10884.8,10984.7,11468415
2017-04-17,11034.6,11059.6,10235.7,10235.7,10377709
2017-04-18,10135.9,10385.5,9686.5,10110.9,8236146
2017-04-19,10360.5,10809.9,10335.6,10809.9,8384893
2017-04-20,10934.7,11184.4,10485.4,10585.2,7439581
2017-04-21,10485.4,10785.0,10385.5,10760.0,5136034
2017-04-24,10560.3,10859.8,10435.4,10785.0,6645957
2017-04-25,10760.0,11159.4,10660.1,11134.5,8574156
2017-04-26,11284.3,11284.3,11034.6,11134.5,8735179
2017-04-27,11134.5,11234.3,10959.7,11084.5,6291063
2017-04-28,10984.7,11034.6,10710.1,10809.9,6464205
2017-05-03,10585.2,10934.7,10510.3,10785.0,4912609
2017-05-04,10884.8,11234.3,10859.8,11209.4,10585484
2017-05-05,11309.2,11434.0,11209.4,11209.4,9153082
2017-05-08,11209.4,11459.0,11084.5,11459.0,9774760
2017-05-09,11583.8,12232.9,11558.9,12232.9,12499740
2017-05-10,12307.8,12307.8,11783.6,11783.6,7864564
2017-05-11,11783.6,11958.3,11583.8,11783.6,7717797
2017-05-12,11783.6,12133.1,11683.7,11983.3,10841227
2017-05-15,12619.1,12820.8,12446.3,12619.1,12587743
2017-05-16,12676.8,12734.4,12215.8,12215.8,7716487
2017-05-17,12129.4,12388.7,11697.2,11812.4,9347314
